Kabupaten/Kota,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Daging Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DAGING,,,,,,,Daging sapi,,,,,,,"Daging kambing, domba/biri-biri",,,,,,,Daging babi,,,,,,,Daging ayam ras,,,,,,,Daging ayam kampung,,,,,,,Daging segar lainnya,,,,,,,Daging diawetkan lainnya,,,,,,,"Tetelan, sandung lamur",,,,,,,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",,,,,,
Kota Prabumulih,5597.32,3700.82,4371.22,5082.29,6123.71,6348.43,7797,982.74,432.26,676.22,834.83,1224.89,1088.73,979,-,-,37.84,12.16,25.41,-,-,-,-,-,95.66,-,9.64,13,4179.51,2882.05,2950.02,3754.63,4171.64,4392.42,5601,289.89,45.21,417.14,259.4,328.76,332.26,200,21.21,101.74,14.24,-,68.04,88.56,14,-,23.27,-,15.91,127.62,197.39,802,28.25,4.56,22.4,32.51,20.09,23.08,4,95.72,211.72,253.36,77.2,157.27,216.35,185
Kota Pagar Alam,5207.99,5240.85,5822.27,6883.07,5941.53,5367.45,8110,1568.15,816.24,958.95,1070.04,671.68,819.44,1154,131.12,98.26,78.59,192.35,79.39,138.57,276,-,-,-,-,-,2.82,-,3150.98,3576.26,4465.44,4477.35,4444.18,3813.97,5674,257.15,480.72,145.72,483.17,356.83,276.15,428,-,-,48.48,238.26,-,52.61,-,-,92.01,-,-,80.99,107.93,254,18.02,57.73,43.73,33.95,33.73,8.43,89,82.58,119.63,81.35,387.95,274.73,147.53,234
Kota Lubuklinggau,6895.49,6296.4,6178.48,7135.78,6834.46,8050.95,8513,1574.83,1151.44,1023.54,1340.85,1289.82,1190.51,792,94.6,21.45,2.15,1.43,-,3.48,-,43.61,33.83,32.75,-,-,19.8,96,3616.94,3784.48,3886.13,4288.77,4380.17,4735.26,5408,913.37,846.58,799.85,838.56,654.64,1224.25,935,23.65,135.15,101.77,170.41,75.07,77.34,21,38.71,13.15,-,15.29,168.27,332.33,782,62.2,125.71,44.9,133.99,41.18,56.11,106,527.59,184.6,287.38,346.48,225.31,411.85,372
Bengkulu Selatan,5210.02,6329.87,5867.47,7007.75,7483.07,5574.88,6169,859.6,901.26,819.12,750.59,819.12,475.34,633,-,-,5.61,-,-,-,-,14.78,-,-,4.54,-,-,16,2975.71,3415.23,3328.05,4518.25,4431.27,4150.91,4073,1053.91,1774.47,1574.35,1388.57,1612.93,495.22,839,152.14,64.38,25.75,48.32,107.92,269.33,321,13.36,28.36,-,-,238.22,63.11,74,40.98,40.03,7.77,91.77,75.99,45.45,24,99.55,106.13,106.81,205.72,197.62,75.53,188
Rejang Lebong,3330.46,3786.19,3950.28,5064.81,5201.23,6368.61,6301,264.87,506.68,452.36,550.31,624.51,496.71,679,66.55,23.89,7.6,189.58,-,21.26,104,9.85,1.74,20.03,9.09,-,-,-,2254.64,2697.52,2812.46,3420.69,3702.2,4604.92,4808,624.85,419.99,518.15,548.58,464.09,745.59,378,35.12,40.28,16.43,32.64,-,-,65,0.71,-,-,-,53.73,254.9,57,-,0.95,82.67,115.56,117.37,122.53,120,73.87,95.15,40.57,198.37,239.32,122.69,91
Bengkulu Utara,5358.71,6917.11,5139.93,5527.33,7319.98,6990.64,8416,549.97,1438.87,622.75,465.58,1687.6,748.23,972,-,245.12,77.72,-,0.83,32.91,-,73.49,8.9,20.06,60.31,70.02,130.4,128,3333.65,3014.55,2784.12,3453.64,4380.37,4414.29,4856,1142.31,2011.22,1292.61,1074.78,836.04,1211.56,1999,7.65,-,16.16,4.44,6.02,6.86,40,-,-,2.82,-,37.9,90.61,139,115.58,52.5,166.06,269.17,101.93,164.42,84,136.07,145.94,157.62,199.41,199.26,191.37,197
Kaur,4657.35,4860.13,4231.51,6206.85,7521.21,6998.53,6607,332.08,622.55,162.42,1015.24,1220.8,1553.01,1081,29.23,-,-,5.19,6.67,4.07,123,56.1,64.89,15.65,9.44,-,36.17,-,3056.3,2776.95,2284.53,3727.17,4447.51,3792.79,3364,1004.44,1120.13,1589.27,885.61,1329.56,1367.81,1239,137.5,66.7,103.08,440.33,198.38,174.66,478,-,5.3,-,49.28,32.18,33.33,130,19.79,68.44,9.77,15.74,29.89,17.97,11,21.93,135.17,66.8,58.85,256.22,18.73,179
Seluma,4037.97,3812.48,4541.36,4644.48,5995.31,5785.36,6205,405.86,511.31,458.55,191.88,402.34,338.48,41,-,63.39,67.51,-,0.14,7.02,-,11.81,12.75,44.33,17.52,-,-,-,2858.81,1914.56,2258.56,3162.64,4515.7,4163.95,4300,442.28,984.97,1199,860.77,519.24,404.89,1163,97.51,16.71,46.6,-,92.43,296.08,159,3.53,5.4,-,4.31,58.49,-,119,119.2,147.64,190.84,227.44,221.26,184.86,145,98.97,155.76,275.97,179.92,185.71,390.06,278
Mukomuko,6860.43,5659.23,5681.87,6279.05,8486.96,6564.34,6707,477.56,362.51,325.6,445.69,630.83,159.58,737,346.62,7.13,-,-,274.69,-,24,72.61,20.59,88.33,33.12,13.19,22.12,110,3465.31,2767.99,3275.66,3537.16,4410.2,4706.58,4307,2127.97,1888.59,1510.01,1884.06,2800.36,1297.29,1229,96.06,280.26,336.64,29.66,203.5,-,20,8.54,3.8,-,4.14,-,161.12,127,91.13,211.88,18.84,42.93,41.52,15.97,27,174.62,116.48,126.8,302.29,112.67,201.67,125
Lebong,4618.04,5366.97,5516.55,4653.44,6364.34,6754.82,6854,578.1,430.87,636.29,485.34,807.35,768.89,801,6.64,44.14,87.24,58.68,122.34,75.95,31,0.56,2.59,38.72,-,34.28,-,108,2090.05,2210.42,2437.48,2686.45,3860.14,3987.01,4283,1333.01,1699.83,1765.33,799.98,973.99,1033.53,812,150.98,380.92,165.75,60.28,29.32,129.59,101,10.49,29.91,15.97,16.81,157.34,131.72,252,171.29,174.31,160.88,189.18,95.67,317.25,196,276.94,393.98,208.91,356.71,283.92,310.87,269
Kepahiang,3473.26,3190.81,4393.02,4082.53,5211.41,5138.65,6659,313.01,457.07,259.13,393.99,1195.89,345.86,1085,-,-,76.23,13.71,-,-,305,-,-,-,12.68,12.34,12.71,-,2224.5,1941.89,2847.26,2840.02,3332.92,3399.32,4096,659.7,705.68,889.85,431.28,366.02,373.06,225,82.84,10.06,141.81,136.13,102.22,622.72,142,-,-,-,-,95.43,195.11,249,86.02,22.3,38.13,58.27,17.32,32.55,99,107.2,53.8,140.61,196.43,89.27,157.32,458
Bengkulu Tengah,4971.71,4067.49,4511.96,5480.67,6367.29,6693.5,7038,487.46,145.79,238.18,312.03,612.24,378.24,334,36,21.39,-,13.35,-,-,10,4.47,3.1,48.89,-,-,-,7,3260.08,3167.27,3413.58,4250.98,4711.74,4996.46,5615,599.58,492.38,474.4,556.97,650.27,688.73,300,131.3,-,68.74,1.44,49.32,96.74,56,-,-,-,-,-,63.64,201,188.21,61.41,37.76,75.24,147.84,134.25,122,264.62,176.16,230.41,270.65,195.87,335.44,392
Kota Bengkulu,7940.09,7745.27,8017.97,7971.73,10188.42,8966.99,9959,1648.67,1662.32,1531.59,916.87,2017.48,986.67,1350,-,-,-,-,-,32.14,59,-,7.2,10.2,11.11,-,172.13,34,4599.22,4590.6,4909.87,5487.71,6030.62,6181.3,6848,1173.4,857.2,839.9,974.65,633.49,512.81,613,78.54,122.21,90.21,57.66,-,155.68,17,14.07,27.7,29.64,48.68,991.69,463.24,476,124.88,184.54,92.07,59.62,134.66,130.87,81,301.31,293.5,514.49,415.41,380.49,332.15,481
Lampung Barat,3366.9,4937.59,5419.91,4878.93,5160.63,4472.65,4610,245.38,388.38,324.01,167.4,339.96,269.8,21,42.4,434.63,189.34,85.97,4.52,140.09,31,30.74,-,-,-,4.04,13.63,-,1240.07,2181.03,2166.27,2223.61,2068.48,2106.29,2543,1529.99,1651.51,2456.07,2057.01,2015.98,1330.17,1615,145.76,166.32,46.11,214.7,337.65,192.37,187,-,-,-,-,105.96,146.05,96,44.48,-,8.93,36.12,25.22,66.95,69,88.09,115.73,229.16,94.11,258.81,207.3,51
Tanggamus,3270.19,2365.64,2212.11,2793.84,3626.91,4770.52,4246,715.64,90.63,42.05,221.26,746.55,207.88,535,278.19,167.29,56.64,-,27.91,238.4,237,-,-,-,-,-,-,-,1188.57,997.32,775,1672.15,1748.1,2398.37,1677,1001.4,976.64,1190.4,816.82,953.8,1577.67,1554,64.74,103.18,117.55,11.56,100.57,79.83,76,-,-,-,-,30.08,88.43,28,20.52,9.21,1.52,26.74,-,43.2,71,1.13,21.38,28.95,45.31,19.9,136.73,69
Lampung Selatan,3782.29,4075.78,4145.97,4649.84,5843.2,6358.5,6156,473.6,793.96,221.41,396.71,194.73,322.28,235,32.92,11.09,108.57,41.09,53.71,-,35,-,13.91,39.36,107.18,156.95,60.9,252,1897.79,1478.31,2467.35,2291.69,3395.65,3559.28,3049,1160.5,1473.33,1008.81,1503.58,1686.11,1884.85,2175,26.5,99.33,14.02,11.55,25.44,5.7,-,6.77,-,17.3,5.3,130.64,172.12,150,23.36,136.61,6.71,22.77,15.7,79.79,44,160.86,69.24,262.44,269.97,184.26,273.58,214
Lampung Timur,2823.61,3680.69,3435.48,5109.44,5564.13,5219.69,5230,360.7,143.86,117,226.65,168.97,89.11,342,193.74,182.29,79.67,33.84,108.72,33.02,7,49.3,-,26.93,19.6,17.51,8.25,12,1165.66,977.74,1127.53,1865.81,2462.83,2154.78,2001,964.46,2206.95,1953.33,2787.46,2454.94,2268.92,2284,2.54,107.56,2.43,69.24,144.67,338.34,203,-,8.08,-,1.85,67.25,217.02,90,-,5.91,19.8,20.99,30.64,-,5,87.21,48.31,108.78,84,108.6,110.25,284
Lampung Tengah,3104.45,3591.91,3739.3,4538.75,5610.27,5359,7048,39.98,120.21,258.96,164.4,267.43,121.59,133,207.2,164.46,64.34,66.54,66.98,202.32,90,19.01,54.03,100.28,210.85,232.88,63.29,423,1354.07,1617.05,1486.49,1891.49,2419.43,2415.96,2830,1277.43,1335.99,1521.72,1790.39,2240.47,2015.86,3123,12.47,85.34,152.38,158.56,46.03,183.94,99,-,12.88,3.47,2.78,83.51,118.73,31,26.21,82.62,7.9,66.91,61.98,-,79,168.07,119.34,143.75,186.82,191.57,237.32,240
Lampung Utara,3068.26,3639.84,3761.56,3080.67,4368.58,4630.64,4029,713.19,279.48,656.06,127.12,283.19,200.53,145,57.09,-,15.23,54.35,97.09,96.72,196,21.02,27.55,17.25,-,20.47,-,15,1115.87,1738.05,1514.93,1707.08,2343.28,2592.15,2378,1113.97,1407.03,1406.93,1020.21,1538.52,1537.27,1042,4.46,63.5,-,100.9,-,90.86,45,-,1.64,3.59,-,8.67,37.09,50,25.51,88.51,109.55,4.62,7.14,30.46,39,17.15,34.1,38.02,66.4,70.22,45.56,119
Way Kanan,2907.34,4309.84,4011.2,4261.32,5340.38,5716.17,5760,273.03,519.42,669.13,361.81,306.6,673.35,14,207.27,170.32,105.42,132.72,-,56.36,324,49.26,159.65,22.28,-,16.48,19.92,41,1182.01,1359.08,991.59,1928.87,2939.9,2037.67,2829,1082.45,1911.7,1871.66,1595.9,1695.33,2402.79,2195,34.89,102.28,228.45,132.7,171.97,258.64,220,-,-,-,13.36,73.76,172.9,61,20.35,-,24.36,-,8.88,2.75,29,58.07,87.39,98.29,95.96,127.46,91.79,48
Tulangbawang,4181.99,4161.12,3523.72,3362.29,4724.72,4775.32,5363,562.32,149.33,59.86,208.41,178.72,98.96,192,96.25,259.81,193.58,25.25,165.07,141.12,67,44.23,169.04,3.85,62.37,41.47,78.23,305,1447.75,966.44,1341.85,1532.5,2043.92,1917.19,1782,1806.6,2516.19,1762.67,1399.33,2018.52,2233.06,2646,95.15,-,45.87,100.35,77.54,150.36,249,30.01,-,-,-,102.2,76.98,22,9.38,-,26.54,-,34.09,49.85,1,90.3,100.31,89.51,34.08,63.2,29.57,100
Pesawaran,1947.27,3199.66,3372.33,3641.15,4448.16,4803.81,5111,216.5,210.22,349.8,274.76,422.74,290.13,167,69.35,194.52,82.14,61.35,74.7,74.03,400,-,-,-,-,13.01,10.24,4,861.35,1176.18,1487.07,1434.54,2106.5,2507.86,2089,631.24,1470.57,1273.01,1491.57,1370.57,1475.45,2000,11.58,59.69,59.19,259.44,210.76,102.17,82,12.14,-,3.27,8.78,43.61,237.06,212,23.45,16.08,28.29,37.79,47.31,3.38,22,121.67,72.41,89.56,72.91,158.96,103.48,136
Pringsewu,2885.72,3258.86,3461.91,3808.19,4244.28,4080.18,3834,101.45,326.58,398.96,345.15,407.05,346.6,169,148.18,79.75,3.17,45.67,-,119.21,110,-,7.31,15.62,23.55,-,-,-,1338.52,1251.33,964.08,1429.32,1652.68,1409.04,1424,1110.45,1210.49,1478.09,1337.01,1136.55,1629.08,1367,86.38,142.42,426.63,249.93,831.12,298.2,446,2.03,5.19,6.65,89,127.87,205.66,173,40.39,121.82,62.48,141.36,15.35,7.44,2,58.32,113.99,106.24,147.19,73.65,64.95,143
Mesuji,4751.97,4756.04,4309.27,4702.11,5114.59,5571.8,4573,206.35,149.47,208.09,207.43,30.99,35.95,144,439.43,537.89,55.12,92.23,131.59,133.69,74,89.1,8.6,177.99,14.17,112.97,-,35,1297.57,1116.82,1057.71,1513.89,2104.26,2435.03,2014,2564.99,2603.27,2358.23,2426.02,2572.08,2607.63,2021,136.13,-,316.51,271.97,52.39,150.14,36,-,219.04,2.81,-,69.18,100.73,174,-,-,-,-,7.88,22.15,-,18.39,120.95,132.8,176.39,33.25,86.48,75
Tulang Bawang Barat,2980.14,2391.83,2613.97,3213.76,4108.07,3671,4450,119.04,35.82,17.39,53.28,429.53,149.17,1,183.76,154.73,204.37,133.96,60.26,48.66,15,25.16,-,11.8,18.77,-,131.32,6,1240.96,893.38,1089.92,1910.02,1734.87,1974.46,2200,1301.03,1081.67,1108.46,994.17,1596.56,1107.86,1931,-,133.74,104.06,26.82,155.56,91.1,167,-,-,-,1.17,36.4,8.99,17,43.36,-,44.98,17.01,11.23,-,-,66.83,92.49,33,58.56,83.66,159.44,114
Pesisir Barat,2329.24,3089.44,3866.01,3716.49,3540.73,3804.53,5147,335.49,194.25,99.77,422.19,134.07,489.42,234,-,66.75,55.22,48.87,24.7,-,7,-,114.06,75.62,10.08,-,13.47,10,1233.34,1506.81,2067.1,2170.2,2065.09,2242.47,3106,646.56,1059.12,1471.02,1010.14,1207.67,955.17,1653,70.82,107.5,50.93,30.69,62.34,-,8,-,-,-,-,22.12,36.16,31,-,5.57,-,-,-,44.73,30,43.03,35.37,46.35,24.32,24.74,23.1,68
Kota Bandar Lampung,5356.67,6213.95,6701.03,9032.22,10144.03,9935.58,8106,738.91,918.27,967.71,2179.11,2081.7,1229.09,1205,130.11,51.42,51.82,23.63,67.76,8.78,13,44.58,12.33,38.86,108.43,-,51.27,41,3320.62,3718.39,4306.48,4594.98,5886.06,6040.67,5305,793.06,955.05,895.36,1105.52,868.17,851.91,434,-,45.75,39.26,87.87,28.74,10.99,39,65.33,76.72,58.11,156.16,828.97,1117.6,654,47.49,105.71,66.59,265.86,171.85,236.28,37,216.57,330.29,276.83,510.66,210.79,388.98,380
Kota Metro,5007.65,6151.39,6748.04,7896.3,7976.4,6752.95,7282,476.45,937.82,626.4,814.38,924.97,385.3,535,129.25,113.28,67.88,194.37,133.91,199.52,60,-,22.62,7.33,43.34,21.1,45.71,-,2269.51,2119.51,3124.55,3706.58,3887.47,3324.13,3380,1839.09,2313.53,2239.59,2240.13,1862.55,1607.18,1666,41.61,208.53,131.02,157.12,232.14,152.89,48,36.52,68.62,117.8,138.27,406.02,662.8,1250,43.09,62.35,66.83,125.02,144.06,116.23,56,172.14,305.14,366.64,477.09,364.18,259.19,288
Bangka,8457.33,7809.09,9432.69,9903.78,14140.18,12684.9,13026,1142.69,585.2,1254.14,827.57,3796.33,1634.65,1891,18.13,-,-,11.93,-,74.06,-,499.77,926.95,730.86,902.31,269.23,522.63,1053,5345.1,5067.05,6226.09,6625.08,8284.76,8464.75,8171,865.19,948.37,739.85,1216.74,1091.99,1438.62,1125,31.84,-,-,-,-,11.35,-,-,11.09,-,-,233.61,283.09,315,365.69,55.83,234.85,78.34,213.69,21.21,229,188.92,214.6,246.88,241.81,250.57,234.52,243
Belitung,7870.55,8502.23,8751.62,8226.08,12894.36,11971.49,11682,1068.64,848.69,736.45,132.13,1533.77,1033.28,1529,-,-,-,-,-,-,-,281.81,153.93,170.94,93.7,369.29,346.79,155,5598.28,6494.34,6845.01,7016.27,9366.31,8637.2,8383,525.09,487.52,464.27,685.59,532.3,416.33,588,15.36,-,13.83,-,-,-,-,-,18.51,10.31,22.4,830.69,1075.91,599,216.7,190.07,140.91,136.51,81.73,226.86,164,164.67,309.17,369.9,139.48,180.28,235.12,264
Bangka Barat,6362.89,5342.5,6205.38,6200.19,11670.98,10576.55,8522,688.23,563.06,613.96,986.67,2477.44,2045.93,840,-,-,-,-,-,-,-,86.25,140.33,594.4,53.83,-,141.94,14,4898.4,3867.89,4183.74,4411.49,7686.03,6706.84,6327,536.49,654.69,486.48,443.69,956.71,947.71,721,12.93,-,-,136.65,11.51,-,-,-,-,17.39,9.35,152.28,231.54,197,66.82,14.59,-,34.88,189.84,198.11,245,73.78,101.93,309.4,123.64,197.17,304.48,178
Bangka Tengah,7262.99,9049.94,7711.44,8820.25,15025.28,12926.13,13476,503.7,1535.06,991.23,812.58,3960.54,2189.84,3233,10.78,-,6.84,-,-,-,71,434.02,397.37,503.15,386.36,70.37,452.45,248,5208.03,5391.55,5541.74,6681.92,8402.83,8008.89,7080,494.34,1124.12,222.95,600.86,1867.94,1090.79,1812,104.01,113.23,9.23,-,85.02,354.54,276,-,-,59.38,33.46,300.32,336.14,352,66.73,230.38,8.13,-,246.79,158.77,54,441.37,258.25,368.79,305.07,91.49,334.69,351
Bangka Selatan,6827.14,6957.21,7789.55,7713.54,14600.25,9671.71,11268,1026.11,1295.7,927.78,947.07,4801.36,1899.12,2748,-,-,-,20.42,9.93,-,-,-,53.23,42.13,-,70.64,-,204,5240.01,4865.2,6141.58,6027.86,8317.95,6839.36,7070,222.47,509.22,372.44,417.91,1020.74,751.84,907,110.6,15.81,35.17,99.62,71.26,46.42,7,-,-,-,27.93,79.38,40.55,103,68.93,-,61.55,71.78,18.9,11.31,76,159.01,218.06,208.9,100.95,210.1,83.11,153
Belitung Timur,7477.45,7762.48,8964.21,9760.35,15204.94,11313.72,12530,850.61,362.99,776.06,832.61,2444.43,1044.74,1034,15.75,-,-,59.52,-,-,-,-,4.88,86.74,162.86,72.41,154.08,-,6149.55,6506.89,7188.95,7942.76,10796.56,9076.68,9581,375.04,614.39,321.73,273.97,446.9,138.1,259,-,-,135.05,7.88,79.96,-,-,-,20.22,202.17,131.69,630.5,537.27,699,39.84,22.98,176.15,125.87,268.72,197.36,236,46.66,230.12,77.36,223.2,465.46,165.49,720
Kota Pangkal Pinang,9821.14,10141.83,11257.45,11826.45,16963.95,15224.59,16910,1789.71,1234.94,1920.55,1832.84,4072.17,3475.98,2563,-,-,36,-,27.9,40.47,-,341.2,708.2,222.27,434.15,800.04,335.01,742,6668.01,6674.15,7706.93,8375.51,9782.35,9183.42,10466,545.49,812.69,635.97,784.73,756.36,794.5,646,11.16,0.66,-,-,23.95,84.91,-,65.92,19.09,34.17,6.46,951.62,840.41,1774,59.15,172.8,231.5,39.21,291.33,247.46,261,340.5,519.31,470.06,353.55,258.23,222.44,459
Karimun,6725.28,7636.78,7815.88,8750.75,8198.15,10583.79,10701,512.75,558.89,731.49,1006.87,506.65,818.65,392,-,58.85,-,53.55,-,-,-,820.71,316.47,498.23,799.52,782.35,1164.05,2064,4626.25,6148.32,6189.51,6231.06,6007.67,7069.37,6445,649.1,353.23,294.23,534.33,159.64,498.95,606,-,15.79,29.96,24.06,64.49,63.53,357,45.92,66.07,45.09,7.14,534.26,796.25,772,-,13.54,-,23.66,21.74,-,-,70.55,105.62,27.37,70.57,121.34,172.97,64
Bintan,5405.97,6024.83,6058.91,7713.31,11180.45,9381.42,10663,754.95,395.46,510.71,727.16,943.27,775.1,827,-,-,-,-,-,3.93,-,49.19,62.84,177.23,178.94,679.49,57.04,416,4054.75,4725.39,4510.26,6018,8235.6,6614.64,7213,424.77,683.75,592.6,448.38,473.21,620.56,881,4.33,15.84,2.85,37.82,24.12,325.83,165,-,40.6,16.81,18.52,673.34,808.12,712,-,-,76.78,38.07,72.48,8.11,15,117.99,100.96,171.67,246.43,78.93,168.08,436
Natuna,3572.94,2744.82,3889.75,4217.27,5685.75,7972.72,9135,197.22,373.94,916.37,654.78,555.08,886.39,1357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2706.14,1964.59,2540.53,3170.07,4731.77,5755.77,7180,474.56,350.45,299.42,314.68,301.21,1064.83,265,36.87,29.99,2.84,21.12,-,-,12,66.08,3.09,44.42,45.01,97.69,252.32,225,-,22.41,-,-,-,-,-,92.08,0.35,86.17,11.61,-,13.41,97
Lingga,3701.86,2855.31,3672.81,4811.36,7138.84,5356.54,6520,9.43,100.2,41.53,19.65,162.08,12.39,126,-,-,-,-,-,-,-,101.5,36.57,74.39,41.45,78.31,25.72,294,3110.85,2226.23,3107.49,4027.72,5566.51,4833.48,5340,359.91,444.79,360.8,658.71,1168.2,268.47,659,72.76,-,-,-,11.73,55.86,-,-,22.45,-,-,82.9,93.97,100,-,-,-,-,-,-,-,47.41,25.06,88.61,63.83,69.1,66.66,-
Kepulauan Anambas,4474.38,8320.02,6081.93,5350.95,7590.14,7740.68,9666,660.43,1797.08,589.17,555.39,84.05,836.92,175,-,-,-,-,-,-,-,-,41.36,-,24.56,129.17,-,-,3604.1,6018.43,5098.14,4460.07,6742.81,6030.22,8170,161.67,356.03,278.67,281.15,330.44,427.97,567,-,53.58,21.04,-,-,-,91,48.18,-,85,29.78,303.67,431.77,651,-,-,-,-,-,-,-,-,53.54,9.9,-,-,13.8,13
Kota Batam,8631.89,9953.97,9350.86,12521.86,13633.63,14894.65,16571,1175.17,1597.49,1634.03,1295.27,1527.26,1274.09,2066,8.31,79.21,8.93,-,-,-,26,372.47,485.28,270.94,1276.06,721.2,824.16,950,6180.69,6447.63,6647.82,8308,8838.14,9454.45,9931,337.01,557.31,233.58,773.73,426.39,310.53,715,192.71,204.47,99.59,154,71.67,202.2,97,164.68,271.83,193.97,391.66,1794.56,2418.41,2393,92.94,81.88,48.22,115.17,58.4,116.3,74,107.91,228.87,213.77,207.97,196.01,294.5,318
Kota Tanjung Pinang,8789.24,8885.16,8478.28,9762.16,9811.3,11804.2,11338,820.11,1083.02,1082.3,875.04,710.05,1177.07,920,42.88,-,-,-,-,-,-,273.05,186.81,475.15,373.01,179.08,196.89,312,6785.8,6755.99,5939.9,7943.6,7918.7,8636,8417,573.61,400.19,419.96,181.81,326.58,271.18,432,32.01,4.43,15.71,10.8,51.34,-,9,14.53,89.07,139.33,237.2,491.86,1133.61,776,23.16,6.79,7.52,-,7.39,-,8,224.09,358.86,398.42,140.69,126.3,389.46,465
Kep. Seribu,3811.83,6185.64,8446,6270.68,11727.44,10209.85,6025,84.67,1884.49,2850.56,151.71,3207.76,3498.27,114,-,9.52,22.5,42.6,17.3,-,-,-,12.15,-,27.11,53.99,27.02,23,3494.88,3710.12,5112.13,4996.47,7263.75,5962.41,5061,158.95,472.14,378.77,442.45,511.18,144.15,169,23.28,33.2,-,105.65,31.24,-,-,-,-,-,35.23,504.24,435.82,497,-,-,11.95,69.67,4.21,-,-,50.05,64.03,70.09,399.78,133.77,142.18,159
Kota Jakarta Selatan,12555.83,13773.94,17534.22,15029.14,19197.31,19060.19,19189,4189.5,4596.51,4789.29,3518.09,6154.08,6117.01,5080,29.63,-,278.64,-,11.2,20.42,20,59.87,31.75,25.56,100.99,103.83,69.06,18,6619.51,6657.25,9332.85,8782.07,8323.1,8943.45,9012,561.72,495.44,588.7,238.75,884.46,388.58,687,66.75,192.44,267.49,286.34,82.51,142.38,209,224.66,781.64,1212.32,1150.44,2817.96,2730.08,3249,289.37,478.9,377.58,456.9,420.64,281.1,419,514.82,540.02,661.8,495.56,399.52,368.1,493
Kota Jakarta Timur,11266.54,11162.18,13080.35,12714.32,18386.4,18599.98,17639,4292.69,3881.7,4742.91,2829.84,6520.68,6595.16,5555,29.69,34.05,55.76,71.45,31.51,-,76,58.95,53.2,25.17,127.87,106.99,32.31,10,5606.16,5964.58,7045.2,7660.08,8373.2,8457.79,8538,552.08,385.55,300.79,549.16,494.89,661.31,536,10.55,57.58,51.45,155.64,99.57,157.14,364,84.74,234.36,195.91,354.85,2014.54,2173.47,1833,409.06,271.7,318.86,451.56,269.94,295.79,348,222.63,279.46,344.29,513.87,475.08,227.01,380
Kota Jakarta Pusat,8716.38,10732.28,13477.02,12816.74,13866.74,13430.2,16016,2863.97,4082.97,5626.28,4087.55,5588.04,3921.5,4299,6.14,-,-,61.07,6.32,55.22,-,117.37,241.18,263.23,94.26,224.75,284.2,458,4743.15,5140.5,6226.54,6620.6,6334.75,6702.72,8075,302.55,278.73,521.65,698.11,126.25,266.88,227,21.34,46.81,98.8,229.18,47.95,69,5,249.18,192.14,151.2,424.33,1010.27,1603.27,2277,222.46,378.72,286.23,387.44,388.15,206.12,262,190.22,371.24,303.09,214.2,140.27,321.29,412
Kota Jakarta Barat,10177.61,11226.91,12007.4,12225.27,15297,17106.28,16183,3088.51,4098.15,3831.65,2677.01,3680.85,5379.32,4308,32.23,67.19,31.3,2.04,-,-,33,487.41,268,322.6,610.69,1100.96,675.88,633,5517.63,5208.62,6041.28,6451.97,6918.59,7068.93,7192,589.19,671.71,531.84,689.32,867.04,1036.02,1141,11.27,87.13,170.17,107.31,145,124.22,57,47.26,247.86,471.54,523.44,2060.08,2351.04,2203,234.03,320.82,286.58,428.67,155.45,177.93,167,170.09,257.44,320.44,734.83,369.03,292.95,449
Kota Jakarta Utara,10008.57,11775.38,10498.25,11374.02,15019.31,16830.46,15339,3549.34,4735.66,3086.66,2880.22,4368.97,4488.33,4001,21.29,10.5,47.14,-,10.18,19.98,-,393.48,420.63,389.5,717.56,673.38,1025.78,671,4724.46,5555.72,4818.72,5852,7439.2,7295.06,7006,679.86,457.08,585.27,570.29,344.11,838.37,762,56.29,39.85,241.8,279.1,121.63,24.45,227,189.08,80.25,512.79,207.98,1137.7,2105.64,1919,173.18,185.01,232.53,362.02,210.81,152.45,161,221.59,290.69,583.84,504.85,713.33,880.41,591
Bogor,6836.41,6427.81,6221.53,6738.24,9166.35,8887.84,7875,1646.48,947.13,1184.05,949.2,1604.72,1476.9,905,87.27,66.86,55.62,32.06,111.14,37.07,7,98.98,66.06,10.67,13.1,-,28.31,90,4312.19,4398.25,4173.13,4692.26,5614.14,5513.66,5202,238.52,236.41,314.87,364.53,356.42,496.44,289,64.78,50.54,16.67,21.08,53.39,58.51,41,62.5,44.24,77.81,29.17,815.07,854.6,783,115.55,193.17,109.26,198.87,239.29,203.02,218,210.13,425.15,279.45,437.96,372.18,219.33,339
Sukabumi,5207.77,6200.49,6611.54,6693.35,7853.23,9159.17,7137,502.01,675.59,1091.53,609.22,1259.09,1410.06,707,61.08,74.22,157.8,87.67,130.04,107.49,75,13.58,5.94,3.49,33.98,20.84,0.69,2,3950.71,4588.82,4481.75,4774.49,5333.5,5808.46,4822,392.41,609.21,508.18,985.49,632.45,1091.69,789,22.44,47.94,51.12,2.36,5.24,35.12,18,34.1,-,10.84,4.17,267.29,449.35,479,52.88,58.04,59.64,38.75,68.32,62.35,27,178.56,140.73,247.18,157.23,136.46,193.96,219
