Nama Wilayah,Angka Morbiditas menurut Wilayah (Persen),,,,,
Ciamis,18.85,,,,,
Kuningan,22.07,,,,,
Cirebon,19.8,,,,,
Majalengka,18.59,,,,,
Sumedang,14.57,,,,,
Indramayu,20.09,,,,,
Subang,14.7,,,,,
Purwakarta,15.88,,,,,
Karawang,9.13,,,,,
Bekasi,12.6,,,,,
Bandung Barat,15.05,,,,,
Pangandaran,21.56,,,,,
Kota Bogor,15.18,,,,,
Kota Sukabumi,13.67,,,,,
Kota Bandung,14.13,,,,,
Kota Cirebon,15.85,,,,,
Kota Bekasi,12.94,,,,,
Kota Depok,12.78,,,,,
Kota Cimahi,16.45,,,,,
Kota Tasikmalaya,14.75,,,,,
Kota Banjar,14.71,,,,,
JAWA TENGAH,16.88,,,,,
Cilacap,14.7,,,,,
Banyumas,21.55,,,,,
Purbalingga,19.6,,,,,
Banjarnegara,18.37,,,,,
Kebumen,20.19,,,,,
Purworejo,17.34,,,,,
Wonosobo,19.26,,,,,
Magelang,16.97,,,,,
Boyolali,17.82,,,,,
Klaten,15.9,,,,,
Sukoharjo,10.66,,,,,
Wonogiri,11.09,,,,,
Karanganyar,10.9,,,,,
Sragen,16.61,,,,,
Grobogan,16,,,,,
Blora,24.91,,,,,
Rembang,18.27,,,,,
Pati,19.28,,,,,
Kudus,16.34,,,,,
Jepara,17.64,,,,,
Demak,18.01,,,,,
Semarang,18.62,,,,,
Temanggung,14.13,,,,,
Kendal,19.11,,,,,
Batang,17,,,,,
Pekalongan,18.85,,,,,
Pemalang,15.2,,,,,
Tegal,15.59,,,,,
Brebes,19.73,,,,,
Kota Magelang,10.88,,,,,
Kota Surakarta,20.65,,,,,
Kota Salatiga,15.88,,,,,
Kota Semarang,8.04,,,,,
Kota Pekalongan,16.68,,,,,
Kota Tegal,21.5,,,,,
D I YOGYAKARTA,16.4,,,,,
Kulon Progo,22.58,,,,,
Bantul,18.29,,,,,
Gunung Kidul,20.82,,,,,
Sleman,9.6,,,,,
Kota Yogyakarta,17.37,,,,,
JAWA TIMUR,16.64,,,,,
Pacitan,13.58,,,,,
Ponorogo,21.45,,,,,
Trenggalek,19.85,,,,,
